INFO 2020-08-07 11:30:13,065 autoreload 76776 4438326720 Watching for file changes with StatReloader
INFO 2020-08-07 11:30:19,399 basehttp 76776 123145417011200 "GET / HTTP/1.1" 200 934855
INFO 2020-08-07 11:30:19,450 basehttp 76776 123145417011200 "GET /static/css/main.css HTTP/1.1" 200 6668
INFO 2020-08-07 11:30:19,460 basehttp 76776 123145422266368 "GET /static/js/station_map.js HTTP/1.1" 200 55583
WARNING 2020-08-07 11:30:20,011 log 76776 123145427521536 Not Found: /errorhandler
WARNING 2020-08-07 11:30:20,013 log 76776 123145417011200 Not Found: /weather
WARNING 2020-08-07 11:30:20,014 log 76776 123145422266368 Not Found: /init
WARNING 2020-08-07 11:30:20,014 basehttp 76776 123145427521536 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 11:30:20,014 basehttp 76776 123145417011200 "POST /weather HTTP/1.1" 404 2176
WARNING 2020-08-07 11:30:20,015 basehttp 76776 123145422266368 "POST /init HTTP/1.1" 404 2167
WARNING 2020-08-07 11:30:20,123 log 76776 123145427521536 Not Found: /errorhandler
WARNING 2020-08-07 11:30:20,123 basehttp 76776 123145427521536 "POST /errorhandler HTTP/1.1" 404 2191
WARNING 2020-08-07 11:30:20,124 log 76776 123145422266368 Not Found: /errorhandler
WARNING 2020-08-07 11:30:20,125 basehttp 76776 123145422266368 "POST /errorhandler HTTP/1.1" 404 2191
INFO 2020-08-07 11:30:38,600 basehttp 76776 123145422266368 "GET /user_manage/login HTTP/1.1" 301 0
INFO 2020-08-07 11:30:38,613 basehttp 76776 123145422266368 "GET /user_manage/login/ HTTP/1.1" 200 2695
INFO 2020-08-07 11:30:38,653 basehttp 76776 123145422266368 "GET /static/css/register.css HTTP/1.1" 200 1991
INFO 2020-08-07 11:30:38,656 basehttp 76776 123145417011200 "GET /static/js/login.js HTTP/1.1" 200 293
INFO 2020-08-07 11:30:38,657 basehttp 76776 123145427521536 "GET /static/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
